depth,BT,BSAL,SSAL,SST,chla,month,season,SBFDESED,SEDSIZE,SUBREGION2,BENHAB,SBFDEPTH,SBF.GRP,LPI
121,11.4,34.416,31.868,23.4,0.386195629835129,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
77,9.8,33.423,32.018,23.6,0.366727501153946,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
69,9.9,33.428,31.599,23.2,0.366727501153946,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
49,9.5,32.013,30.514,22.5,0.36692088842392,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
40,9.2,31.913,30.859,22.6,0.36692088842392,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
51,8.2,32.098,30.698,21.8,0.36692088842392,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
44,8.9,31.99,32.57,22.8,0.36692088842392,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
117,14.4,35.734,32.917,23.6,0.261745661497116,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
43,11.3,31.974,31.122,22.6,0.391307711601257,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
76,8.9,32.536,33.236,23.4,0.256946980953217,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
91,16.6,35.727,33.34,23.4,0.314519077539444,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
283,11.9,35.513,34.562,24.9,0.269548088312149,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
24,23.4,32.46,29.753,24.1,0.912796437740326,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
20,23.6,31.061,29.489,24.1,0.903773963451385,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
22,23.1,30.941,30.92,23.3,1.4818160533905,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
19,20.5,31.617,30.982,22.7,1.28998816013336,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
18,22.4,30.937,30.923,22.4,1.28998816013336,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
38,10.8,31.836,30.764,22.5,0.36692088842392,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
17,20.1,30.811,30.381,22.4,2.38137602806091,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
21,20.3,31.132,30.794,21.6,0.680814266204834,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
66,8.1,32.386,31.537,21.5,0.366727501153946,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
106,11.9,34.977,31.334,21.1,0.338618993759155,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
59,7.9,32.019,31.165,20.4,0.639233410358429,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
83,9.1,33.08,31.394,20.9,0.639233410358429,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
52,9.4,32.092,31.931,16.7,1.91495680809021,10,FALL,ModerateFlatSand,0.35,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
48,8.1,32.285,31.42,19,1.04934966564178,10,FALL,ModerateFlatSand,0.35,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
42,10.3,32.03,31.107,16.3,1.91495680809021,10,FALL,ModerateFlatSand,0.35,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
31,15.2,31.497,31.461,15.3,2.74838328361511,10,FALL,ShallowDepressionGravel,0.5,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
19,16.6,31.152,31.144,16.5,2.90896391868591,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_25,Shallow Depression,Depression,LowLandPosition
21,16.5,31.271,31.241,16.5,2.90896391868591,10,FALL,ModerateDepressionSand,0.35,SouthernNewEngland,SNE_2537,Moderate Depression,Depression,LowLandPosition
31,12.6,31.891,31.154,16.5,0.805397987365723,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
22,15.1,31.464,31.433,15.1,2.47504115104675,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
22,15.4,31.253,30.857,16.2,2.47504115104675,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
78,8.3,32.279,31.512,18.7,1.04934966564178,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
127,11,34.868,31.644,18.1,0.965913891792297,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
242,10.2,35.278,32.136,17.1,0.965890765190125,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
88,11.2,33.657,32.114,15.3,1.28794682025909,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
58,12.2,32.23,31.724,15.7,1.28794682025909,10,FALL,ModerateFlatSand,0.17,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
35,14.5,31.812,31.688,15.1,2.65201711654663,10,FALL,ShallowDepressionSand,0.35,SouthernNewEngland,SNE_949,Shallow Depression,Depression,LowLandPosition
86,10.3,33.157,32.793,16,1.28794682025909,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
237,11.2,35.294,34.565,21.1,0.928037285804749,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
131,11,34.919,33.257,17,1.15873026847839,10,FALL,HighFlatSand,0.35,SouthernNewEngland,SNE_387,High Flat,HighFlat,HighLandPosition
95,10.5,33.682,32.563,14.9,2.01354026794434,10,FALL,SomewhatDeepFlatSand,0.35,SouthernNewEngland,SNE_949,Somewhat Deep Flat,MidFlat,MidLandPosition
70,13.6,31.864,31.885,13.8,2.01354026794434,10,FALL,ModerateDepressionSand,0.35,GulfofMaine,GOM_557,Moderate Depression,Depression,LowLandPosition
58,12.1,32.04,31.974,12.7,0.940050423145294,10,FALL,ShallowFlatSand,0.35,GulfofMaine,GOM_557,Shallow Flat,MidFlat,MidLandPosition
37,15.8,31.679,31.675,15.8,2.56409406661987,10,FALL,ShallowFlatGravel,0.5,GulfofMaine,GOM_9,Shallow Flat,MidFlat,MidLandPosition
48,16,31.673,31.676,16,2.33551168441772,10,FALL,ShallowDepressionSand,0.36,GulfofMaine,GOM_1451,Shallow Depression,Depression,LowLandPosition
77,8.1,32.383,31.934,13,1.63823783397675,10,FALL,ModerateFlatGravel,0.5,GulfofMaine,GOM_1028,Moderate Flat,MidFlat,MidLandPosition
142,6,33.129,31.477,13,1.0974292755127,10,FALL,DeeperDepressionGravel,0.5,GulfofMaine,GOM_7,Deeper Depression,Depression,LowLandPosition
188,6.4,33.469,31.496,13.8,1.0974292755127,10,FALL,DeeperFlatSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Flat,MidFlat,MidLandPosition
202,6.4,33.578,31.53,13.6,1.08736765384674,10,FALL,DeeperFlatSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Flat,MidFlat,MidLandPosition
102,10.4,32.31,31.92,13.7,1.73790037631989,10,FALL,HighFlatSand,0.48,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
180,6.4,33.435,31.923,13.6,1.94798231124878,10,FALL,DeeperDepressionSand,0.48,GulfofMaine,GOM_5,Deeper Depression,Depression,LowLandPosition
50,14.1,31.832,31.828,14.1,2.56409406661987,10,FALL,ShallowDepressionGravel,0.5,GulfofMaine,GOM_9,Shallow Depression,Depression,LowLandPosition
46,14.9,31.743,31.74,15,2.56409406661987,10,FALL,ShallowFlatGravel,0.5,GulfofMaine,GOM_9,Shallow Flat,MidFlat,MidLandPosition
47,14.2,31.805,31.804,14.3,2.56409406661987,10,FALL,ShallowFlatSand,0.48,GulfofMaine,GOM_557,Shallow Flat,MidFlat,MidLandPosition
89,9.1,32.46,31.96,12.2,0.940050423145294,10,FALL,SomewhatDeepFlatSand,0.48,GulfofMaine,GOM_1451,Somewhat Deep Flat,MidFlat,MidLandPosition
212,5.2,34.949,31.379,11.5,0.851861774921417,10,FALL,LowSlopeGravel,0.5,GulfofMaine,GOM_2,Low Slope,LowSlope,LowLandPosition
224,6.8,34.948,31.031,10.7,1.13368356227875,10,FALL,DeeperDepressionGravel,0.5,GulfofMaine,GOM_7,Deeper Depression,Depression,LowLandPosition
92,6.9,33.464,31.801,11.1,0.940050423145294,10,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
79,10.1,32.405,31.991,12.5,0.940050423145294,10,FALL,SomewhatDeepDepressionGrave,0.5,GulfofMaine,GOM_7,Somewhat Deep Depression,Depression,LowLandPosition
99,6.1,33.32,32.398,9.4,2.05026197433472,10,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
138,6.6,33.882,32.456,9.3,2.05026197433472,10,FALL,SideSlopeGravel,0.5,GulfofMaine,GOM_7,Side Slope,HighSlope,HighLandPosition
66,9.2,32.679,32.545,9.3,3.87850069999695,10,FALL,ShallowDepressionSilt/Mud,0.03,GulfofMaine,GOM_8,Shallow Depression,Depression,LowLandPosition
101,8.4,33.054,32.683,9.5,3.87850069999695,10,FALL,DeepDepressionSilt/Mud,0.03,GulfofMaine,GOM_7,Deep Depression,Depression,LowLandPosition
51,9.9,32.435,32.321,10,3.87850069999695,10,FALL,LowSlopeGravel,0.5,GulfofMaine,GOM_1,Low Slope,LowSlope,LowLandPosition
209,7.3,34.319,31.74,12.1,1.13368356227875,10,FALL,DeeperFlatSand,0.17,GulfofMaine,GOM_12,Deeper Flat,MidFlat,MidLandPosition
198,7.5,34.529,31.903,13,1.13368356227875,10,FALL,HighFlatSand,0.17,GulfofMaine,GOM_5,High Flat,HighFlat,HighLandPosition
208,6.2,33.804,31.482,12.8,1.08736765384674,10,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
203,7.1,34.032,31.606,12,1.08736765384674,10,FALL,DeeperDepressionGravel,0.5,GulfofMaine,GOM_7,Deeper Depression,Depression,LowLandPosition
178,6.7,33.799,31.674,10.7,1.94057679176331,10,FALL,DeeperFlatSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Flat,MidFlat,MidLandPosition
213,6.2,33.911,31.726,10.5,1.08736765384674,10,FALL,LowSlopeGravel,0.5,GulfofMaine,GOM_2,Low Slope,LowSlope,LowLandPosition
167,6.1,33.108,31.862,11.1,1.65706861019135,10,FALL,DeeperFlatSand,0.35,GulfofMaine,GOM_12,Deeper Flat,MidFlat,MidLandPosition
33,11.4,31.208,31.206,11.3,1.4573609828949,11,FALL,VeryShallowFlatSilt/Mud,0.03,GulfofMaine,GOM_8,Very Shallow Flat,MidFlat,MidLandPosition
56,9.9,31.746,31.528,10.4,1.23115646839142,11,FALL,ShallowDepressionSilt/Mud,0.03,GulfofMaine,GOM_8,Shallow Depression,Depression,LowLandPosition
53,9.6,31.929,31.623,9.9,1.23115646839142,11,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_9,High Flat,HighFlat,HighLandPosition
205,6.3,33.798,32.005,10.5,1.09539246559143,11,FALL,DeeperDepressionSand,0.17,GulfofMaine,GOM_5,Deeper Depression,Depression,LowLandPosition
168,6.4,33.779,31.962,10.2,2.06779742240906,11,FALL,DeeperFlatSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Flat,MidFlat,MidLandPosition
88,6.9,32.748,31.758,9.3,3.1213755607605,11,FALL,SideSlopeGravel,0.5,GulfofMaine,GOM_12,Side Slope,HighSlope,HighLandPosition
157,7,33.199,32.309,9.1,4.60902738571167,11,FALL,HighFlatSilt/Mud,0.03,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
145,7.3,33.287,32.717,8.9,4.60902738571167,11,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
165,6.8,33.263,32.461,9.1,1.90208566188812,11,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
57,14.8,35.103,33.425,21.4,0.574425399303436,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
102,14.4,35.792,33.467,22.5,0.912419021129608,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
23,23.1,32.316,30.302,22.8,2.06735134124756,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
29,22.2,34.361,32.893,22.7,0.845727682113647,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
22,21.7,32.201,31.931,22.3,2.16680002212524,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
25,21.2,32.471,32.255,21.7,0.992009162902832,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
34,16.6,33.131,32.006,21.2,0.992009162902832,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
30,19.2,33.068,31.984,21.1,1.07520043849945,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
66,12,34.333,33.232,20.2,0.480671584606171,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
66,11.9,34.28,33.496,20,0.480671584606171,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
180,12.4,35.325,33.429,19.8,0.365132510662079,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
89,13.1,35.282,33.498,19.7,0.480671584606171,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
28,18.3,32.45,31.513,18.2,5.43411922454834,10,FALL,ModerateFlatSand,0.35,SouthernNewEngland,SNE_317,Moderate Flat,MidFlat,MidLandPosition
35,18.7,32.41,32.361,18.8,1.52797722816467,10,FALL,ModerateFlatSand,0.36,SouthernNewEngland,SNE_6,Moderate Flat,MidFlat,MidLandPosition
29,18.4,32.085,31.838,18.5,3.68131542205811,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
60,11.4,33.576,33.448,18.8,0.654209613800049,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
24,18.9,32.057,32,18.8,2.32253527641296,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
20,18.5,31.729,31.731,18.5,2.32253527641296,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
26,15.4,32.573,30.653,17.5,3.87880682945251,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
48,12.3,33.271,32.537,17.9,1.52797722816467,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
54,11.6,33.506,33.101,18.4,1.52797722816467,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
133,14,35.754,35.23,21.6,0.475482702255249,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
58,13.8,34.061,32.454,15.5,0.858551025390625,10,FALL,ModerateFlatSand,0.17,SouthernNewEngland,SNE_381,Moderate Flat,MidFlat,MidLandPosition
100,14.5,35.652,34.997,20.9,1.48393702507019,10,FALL,HighFlatSand,0.35,SouthernNewEngland,SNE_437,High Flat,HighFlat,HighLandPosition
66,15.5,33.782,33.223,17,1.48393702507019,10,FALL,ShallowFlatSand,0.35,GulfofMaine,GOM_557,Shallow Flat,MidFlat,MidLandPosition
140,12.9,35.66,35.201,20.9,0.460034668445587,10,FALL,HighFlatSand,0.35,SouthernNewEngland,SNE_387,High Flat,HighFlat,HighLandPosition
49,15.6,32.881,32.697,15.8,2.27817225456238,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_1,High Flat,HighFlat,HighLandPosition
44,16.7,32.561,32.552,16.9,2.27817225456238,10,FALL,ShallowDepressionGravel,0.5,GulfofMaine,GOM_9,Shallow Depression,Depression,LowLandPosition
77,14.6,33.417,33.237,16.9,1.9578697681427,10,FALL,ModerateDepressionSand,0.36,GulfofMaine,GOM_91,Moderate Depression,Depression,LowLandPosition
159,5.8,33.366,32.351,14.9,1.84441983699799,10,FALL,DeeperFlatSand,0.48,GulfofMaine,GOM_12,Deeper Flat,MidFlat,MidLandPosition
33,12.1,32.227,32.205,12.2,1.81841444969177,10,FALL,ModerateFlatGravel,0.5,SouthernNewEngland,SNE_317,Moderate Flat,MidFlat,MidLandPosition
38,12.3,32.175,32.184,12.4,1.81841444969177,10,FALL,HighFlatGravel,0.5,SouthernNewEngland,SNE_6,High Flat,HighFlat,HighLandPosition
30,12.2,32.194,32.198,12.2,1.81841444969177,10,FALL,ModerateFlatGravel,0.5,SouthernNewEngland,SNE_317,Moderate Flat,MidFlat,MidLandPosition
50,12.2,32.258,32.176,13,1.81841444969177,10,FALL,ModerateDepressionGravel,0.5,SouthernNewEngland,SNE_6,Moderate Depression,Depression,LowLandPosition
77,11.9,32.298,32.272,13.2,1.9578697681427,10,FALL,ModerateDepressionGravel,0.5,SouthernNewEngland,SNE_6,Moderate Depression,Depression,LowLandPosition
37,15.9,33.037,32.817,16.2,1.96743488311768,10,FALL,VeryShallowDepressionGravel,0.5,GulfofMaine,GOM_18,Very Shallow Depression,Depression,LowLandPosition
49,15.8,33.034,32.966,15.9,1.96743488311768,10,FALL,HighFlatSand,0.48,GulfofMaine,GOM_1,High Flat,HighFlat,HighLandPosition
79,12.1,33.097,33.015,15.9,2.06318712234497,10,FALL,HighFlatSand,0.48,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
176,8.7,34.801,32.94,14.7,2.7649202346801802,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
47,15.7,32.833,32.795,15.8,1.96743488311768,10,FALL,ShallowDepressionGravel,0.5,GulfofMaine,GOM_9,Shallow Depression,Depression,LowLandPosition
69,14.2,32.925,32.868,14.3,1.48393702507019,10,FALL,ShallowFlatSand,0.35,GulfofMaine,GOM_557,Shallow Flat,MidFlat,MidLandPosition
72,14.3,33.068,32.869,14.6,1.48393702507019,10,FALL,ModerateFlatSand,0.36,GulfofMaine,GOM_91,Moderate Flat,MidFlat,MidLandPosition
76,15.1,34.004,33.026,14.3,1.48393702507019,10,FALL,ModerateFlatSand,0.35,GulfofMaine,GOM_91,Moderate Flat,MidFlat,MidLandPosition
116,14.9,35.687,34.405,18.1,0.460034668445587,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_1,High Flat,HighFlat,HighLandPosition
100,13.5,34.506,33.902,19.1,1.48393702507019,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_1,High Flat,HighFlat,HighLandPosition
83,11.8,33.032,32.78,13.5,1.86997652053833,10,FALL,SomewhatDeepFlatSand,0.48,GulfofMaine,GOM_1451,Somewhat Deep Flat,MidFlat,MidLandPosition
60,14.5,32.881,32.875,14.5,1.86997652053833,10,FALL,SideSlopeGravel,0.5,GulfofMaine,GOM_1,Side Slope,HighSlope,HighLandPosition
178,9.3,34.671,33.032,14.4,2.7649202346801802,10,FALL,LowSlopeGravel,0.5,GulfofMaine,GOM_2,Low Slope,LowSlope,LowLandPosition
134,11.2,34.764,33.304,13.5,1.25450122356415,10,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
264,8.5,35.129,33.3,14.1,2.10168027877808,10,FALL,SideSlopeGravel,0.5,GulfofMaine,GOM_7,Side Slope,HighSlope,HighLandPosition
185,10.1,35.224,33.094,12.2,1.45413315296173,10,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
185,9,34.785,32.759,11.4,2.10168027877808,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
203,10.3,34.938,33.624,12.2,1.45413315296173,10,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
106,12.2,33.936,33.863,12.2,1.67093324661255,10,FALL,DeepDepressionGravel,0.5,GulfofMaine,GOM_7,Deep Depression,Depression,LowLandPosition
146,12,34.457,33.784,12.4,1.67093324661255,10,FALL,DeeperDepressionGravel,0.5,GulfofMaine,GOM_7,Deeper Depression,Depression,LowLandPosition
39,11.4,32.273,31.939,12.5,3.63697028160095,11,FALL,VeryShallowDepressionSilt/M,0.03,GulfofMaine,GOM_8,Very Shallow Depression,Depression,LowLandPosition
141,6.6,33.665,32.349,12.2,2.01142621040344,11,FALL,HighFlatSand,0.35,GulfofMaine,GOM_1,High Flat,HighFlat,HighLandPosition
103,6.4,33.349,32.25,12.2,1.3688492774963401,11,FALL,SideSlopeSand,0.48,GulfofMaine,GOM_1,Side Slope,HighSlope,HighLandPosition
114,6.3,33.189,32.317,12.3,2.53452491760254,11,FALL,HighFlatGravel,0.5,GulfofMaine,GOM_7,High Flat,HighFlat,HighLandPosition
75,6.8,33.055,32.318,11.1,1.99035251140594,11,FALL,ModerateDepressionGravel,0.5,GulfofMaine,GOM_557,Moderate Depression,Depression,LowLandPosition
221,7.7,34.245,32.446,11.4,1.52776479721069,11,FALL,DeeperDepressionSand,0.17,GulfofMaine,GOM_5,Deeper Depression,Depression,LowLandPosition
177,6.8,33.743,32.444,11.3,2.01142621040344,11,FALL,DeeperDepressionGravel,0.5,GulfofMaine,GOM_7,Deeper Depression,Depression,LowLandPosition
108,6.3,33.102,32.376,11.3,2.01142621040344,11,FALL,SideSlopeGravel,0.5,GulfofMaine,GOM_7,Side Slope,HighSlope,HighLandPosition
169,7.3,33.974,32.57,11.4,1.76879692077637,11,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
156,6.9,33.758,32.256,11.2,2.21528100967407,11,FALL,DeeperDepressionSilt/Mud,0.03,GulfofMaine,GOM_247,Deeper Depression,Depression,LowLandPosition
83,6.8,33.046,32.446,9.5,2.64576315879822,11,FALL,LowSlopeSand,0.35,GulfofMaine,GOM_2,Low Slope,LowSlope,LowLandPosition
91,10.8,33.612,32.874,10.6,1.50211048126221,11,FALL,SomewhatDeepDepressionGrave,0.5,GulfofMaine,GOM_7,Somewhat Deep Depression,Depression,LowLandPosition
133,10.5,34.101,33.35,10.5,2.21528100967407,11,FALL,DeepDepressionSilt/Mud,0.03,GulfofMaine,GOM_7,Deep Depression,Depression,LowLandPosition
