depth,BT,BSAL,SSAL,SST,chla,month,season,SBFDESED,SEDSIZE,SUBREGION2,BENHAB,SBFDEPTH,SBF.GRP,LPI
218,7.68,34.773,32.767,11.36,2.4428231716156,10,FALL,LowSlopeGravel,0.5,GulfofMaine,GOM_7,Low Slope,LowSlope,LowLandPosition
53,9.23,32.383,31.481,14.15,1.34780931472778,10,FALL,HighFlatGravel,0.5,SouthernNewEngland,SNE_6,High Flat,HighFlat,HighLandPosition
247,7.99,34.443,32.411,12.55,1.19093024730682,10,FALL,DeepestDepressionGravel,0.5,GulfofMaine,GOM_7,Deepest Depression,Depression,LowLandPosition
84,10.2,33.854,33.849,21.3,0.406138449907303,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
124,12.7,35.596,33.668,26.49,0.608508944511414,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
96,11.83,34.33,32.426,13.15,2.45907151699066,10,FALL,SomewhatDeepFlatSand,0.35,GulfofMaine,GOM_9/133/183/1451,Somewhat Deep Flat,MidFlat,MidLandPosition
115,13.19,35.449,33.671,20.83,0.557615101337433,10,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
144,12.63,35.651,35.461,23.15,0.459791004657745,10,FALL,HighFlatGravel,0.5,SouthernNewEngland,SNE_387,High Flat,HighFlat,HighLandPosition
145,7.99,33.625,32.144,10.79,2.82619023323059,11,FALL,DeepDepressionGravel,0.5,GulfofMaine,GOM_7,Deep Depression,Depression,LowLandPosition
82,9.22,32.661,32.062,17.8,1.27752435207367,10,FALL,SideSlopeSand,0.35,SouthernNewEngland,SNE_11,Side Slope,SideSlope,MidLandPosition
24,21.1,32.033,32.096,23.24,0.629612028598785,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
48,16.77,32.831,32.826,16.72,3.45967316627502,10,FALL,ShallowDepressionGravel,0.5,GulfofMaine,GOM_9,Shallow Depression,Depression,LowLandPosition
115,6.77,33.203,31.92,14.95,0.763433933258057,10,FALL,HighFlatSand,0.35,GulfofMaine,GOM_1,High Flat,HighFlat,HighLandPosition
185,5.67,33.449,32.394,11.62,0.92067277431488,11,FALL,HighFlatSand,0.17,GulfofMaine,GOM_5,High Flat,HighFlat,HighLandPosition
125,12.72,34.974,35.076,22.91,0.313807904720306,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
224,7.68,35.111,32.477,16.6,0.782431483268738,10,FALL,SideSlopeSand,0.48,GulfofMaine,GOM_5,Side Slope,HighSlope,HighLandPosition
162,13,35.596,35.729,22.37,0.611934959888458,10,FALL,HighFlatSand,0.35,SouthernNewEngland,SNE_387,High Flat,HighFlat,HighLandPosition
106,8.19,33.1,32.514,10.86,5.17351055145264,10,FALL,HighFlatSilt/Mud,0.03,GulfofMaine,GOM_2,High Flat,HighFlat,HighLandPosition
46,18.23,33.364,33.523,20.6,1.04134905338287,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
57,9.14,32.556,32.631,20.83,0.3213230073452,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
23,22.81,30.706,30.692,22.81,2.19524145126343,9,FALL,ShallowDepressionSand,0.48,SouthernNewEngland,SNE_200,Shallow Depression,Depression,LowLandPosition
