ATLANTIC.HERRING,BARNDOOR.SKATE,ATLANTIC.COD,AMERICAN.PLAICE,AMERICAN.LOBSTER,NORTHERN.SHORTFIN.SQUID,SPOT,LITTLE.SKATE,WINTER.SKATE,YELLOWTAIL.FLOUNDER,LONGFIN.SQUID,HADDOCK,SILVER.HAKE,ATLANTIC.CROAKER,SMOOTH.DOGFISH,LONGHORN.SCULPIN,SUMMER.FLOUNDER,FOURSPOT.FLOUNDER,BUTTERFISH,SEA.SCALLOP,POLLOCK,BLUEFISH,NORTHERN.SEAROBIN,WINTER.FLOUNDER,ACADIAN.REDFISH,SPINY.DOGFISH,SCUP,RED.HAKE,SPOTTED.HAKE,WHITE.HAKE
0,0,0,0,0.02307692,0.05384615,0,0,0,0,0.7846154,0,0,0,0,0,0,0,0.1076923,0,0,0,0,0,0,0.02307692,0,0,0.5153846,0
0,0,0,0,0.03333333,0.01111111,0,0,0,0,0.7333333,0,0.03333333,0,0,0,0,0,0.6888889,13.37778,0,0,0,0,0,0,0,0.05555556,0.3888889,0
0,0,0,0,0,0,0,0.5636364,0,0,0.01818182,0,0,0,0,0,0,0.2181818,1.390909,2.345455,0,0,0,0,0,0,0,0.1090909,0.6454545,0
0,0,0,0,0,0,0,0.64,0,0,0.1,0,0.01,0,0,0,0,0.52,0,0.03,0,0,0,0.06,0,0,0,0,1.82,0
0,0,0,0,0,0,0,0.1333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333,0
0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333,0
0,0,0,0,0,0,0,0.4,0,0,0.03333333,0,0.01111111,0,0,0,0,0.2,0,0.2555556,0,0,0,0,0,0,0,0.1111111,0.9333333,0
0,0,0,0,0,0.05384615,0,0,0,0,0.06153846,0,0.02307692,0,0,0,0,0.07692308,3.292308,0,0,0,0,0,0,0.05384615,0,0,0.3307692,0
0,0,0,0,0,0,0,0.2857143,0,0,0.7285714,0,0,0,0,0,0,0,0,0.02857143,0,0,0.01428571,0,0,0,0,0,0,0
0,0,0,0,0,0.01666667,0,0,0,0,0.008333333,0,0,0,0,0,0,0.2333333,0,0.075,0,0,0,0,0,0,0,0,1.683333,0
0,0,0,0,0,0.1125,0,0,0,0,4.9,0,0,0,0,0,0,0,46.5875,0,0,0,0,0,0,0,0,0,1.2875,0
0,0,0,0,0,1.05625,0,0,0,0,0.06875,0,0,0,0,0,0,0.00625,0.11875,0,0,0,0,0,0,0,0,0,0.025,0
0,0,0,0,0,0,0.05416667,0,0,0,0.02083333,0,0,0.6375,0,0,0.02916667,0,0.025,0,0,0,0.1125,0,0,0,1.3125,0,0.03333333,0
0,0,0,0,0,0,0,0,0,0,0.03684211,0,0,0.08421053,0.03157895,0,0.06315789,0,0.1105263,0,0,0,0,0,0,0,1.347368,0,0,0
0,0,0,0,0,0,0.03478261,0,0,0,0.1347826,0,0,4.869565,0.04782609,0,0.2347826,0,0.04347826,0,0,0,0.1304348,0,0,0,0.1956522,0,0.03043478,0
0,0,0,0,0,0,0.1083333,0,0,0,0.075,0,0,0.7125,0.8416667,0,0.175,0,0.15,0,0,0.0125,0.04583333,0,0,0,0.8583333,0,0.008333333,0
0,0,0,0,0,0,0.8043478,0,0,0,0.03478261,0,0,0.9869565,0.7913043,0,0.1782609,0,0.4391304,0,0,0.0173913,0,0,0,0,0.2086957,0,0.004347826,0
0,0,0,0,0,0,0.05,0,0,0,0.425,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.09230769,0,0,0.02307692,7.669231,0,0.3538462,0,0.007692308,0,0,0,0.1307692,0,0,0,0.5076923,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0.08333333,0,0,0,10.95,0,0.6166667,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.02857143,0,0,0,0,0.6714286,0,0.05714286,0,0,0,0,0.02857143,0,0.2142857,0,0,0,0.05714286,0,0,0,0,0.04285714,0
0,0,0,0,0.1,12.8,0,0,0,0,0.7083333,0,0.01666667,0,0,0,0,0,0.7166667,0.008333333,0,0,0,0,0,0.1833333,0,0,0.3,0
0,0,0,0,0,0.05714286,0,0,0,0.04285714,0.1285714,0,0,0,0,0,0,0,0,0.4428571,0,0,0,0.08571429,0,0,0,0,0,0
0,0,0,0,0.1428571,0,0,0,0,0,1.585714,0,0.07142857,0,0,0,0,0.01428571,3.542857,0.3571429,0,0,0,0,0,0,0,0,0.02857143,0
0,0,0,0,0.155,0,0,0.335,0,0.565,0.065,0.005,0.1,0,0,0.005,0,0.165,0.005,0.255,0,0,0.005,0.45,0,1.595,0,0.025,0.01,0.005
0,0,0,0,0.1714286,0,0,0.03571429,0,0.1071429,0.1142857,0.007142857,0.05,0,0,0,0,0.007142857,0,0,0,0,0,0.1714286,0,6.521429,0,0,0,0
0,0,0,0,0.05833333,0,0,0,0,0.008333333,0.2583333,0,0.008333333,0,0,0,0,0,0.05,0.1166667,0,0.1,0,0.125,0,1.841667,0.008333333,0,0,0
0,0,0,0,0,0,0,0.03846154,0.1384615,0,1.469231,0,0,0,3.969231,0,1.407692,0,0.03846154,0,0,1.423077,0,0.1230769,0,0.6230769,0.08461538,0,0,0
0,0,0,0,0,0,0,0.1,0,0,0.6571429,0,0,0,0,0,1.357143,0,0.01428571,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.1777778,0.5777778,0,1.188889,0,0.01111111,0,4.933333,0,2.477778,0,0.01111111,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.06470588,0,0,0.2941176,0.07647059,0,0.005882353,0,0,0,0,0,0.3176471,0.06470588,0,0,0,0,0,0.2294118,0,4.311765,0.04117647,0,0.005882353,0
0,0,0,0,0,0,0,0.02307692,0.4384615,0,0.3615385,0,0.007692308,0,0,0,2.761538,0.02307692,0.02307692,0,0,0.03076923,0,0,0,0,0.03076923,0,0,0
0,0,0,0,0,0,0,0.05,0,0,0.3,0,0,0,0,0,0.98,0,0.26,0,0,0.73,0,0.07,0,0.72,0,0,0,0
0,0,0,0,0.04166667,0,0,0.5833333,0,0.025,0.008333333,0,0.275,0,0,0,0,0.1666667,0.01666667,0,0,0,0,0,0,0,0,0.275,0,0
0,0,0,0,0,0,0,0,0,0,0.5888889,0,0.1222222,0,0,0,0,0.07777778,0.2333333,0,0,0,0,0,0,0,0,0,0.3,0
0,0,0,0,0.08695652,0.02173913,0,0,0,0,0.02608696,0,0,0,0,0,0,0.008695652,0.008695652,0,0,0,0,0,0,0,0,0.02608696,0.01304348,0
0,0,0,0,0.08,0,0,0,0,0,0.99,0,0.21,0,0,0,0,0.03,0.71,0.03,0,0.34,0,0,0,0.73,0,0.01,0,0
0,0,0,0,0.025,0,0,0,0,0.025,0.6333333,0,0.3083333,0,0.2083333,0,0.1,0.025,2.983333,0,0,0.2833333,0,0,0,14.46667,0,0,0,0
0,0,0,0,0.48,0,0,1.7,0.355,0.015,0.44,0,0.025,0,1.29,0,0.71,0.1,0.005,0,0,0,0.025,0.27,0,23.365,0.1,0,0.005,0
0,0,0,0,0.1285714,0,0,0.05,0,0,0.2071429,0,0.07142857,0,0,0,0,0.1642857,0.02142857,0.02142857,0,0,0,0,0,0.01428571,0,0.1142857,0.007142857,0
0,0,0,0,0.05,0.02142857,0,0,0,0,0,0,0,0,0,0,0,0.05714286,0,0,0,0,0,0,0,0,0,0.01428571,0.02142857,0
0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0.0625,0.2125,0
0,0,0,0,0,0.02727273,0,0,0,0,0.1545455,0,0.1,0,0,0,0,0,0.01818182,0,0,0,0,0,0,0.8909091,0,0.01818182,0,0
