ATLANTIC.HERRING,BARNDOOR.SKATE,ATLANTIC.COD,AMERICAN.PLAICE,AMERICAN.LOBSTER,NORTHERN.SHORTFIN.SQUID,SPOT,LITTLE.SKATE,WINTER.SKATE,YELLOWTAIL.FLOUNDER,LONGFIN.SQUID,HADDOCK,SILVER.HAKE,ATLANTIC.CROAKER,SMOOTH.DOGFISH,LONGHORN.SCULPIN,SUMMER.FLOUNDER,FOURSPOT.FLOUNDER,BUTTERFISH,SEA.SCALLOP,POLLOCK,BLUEFISH,NORTHERN.SEAROBIN,WINTER.FLOUNDER,ACADIAN.REDFISH,SPINY.DOGFISH,SCUP,RED.HAKE,SPOTTED.HAKE,WHITE.HAKE
0.1928571,0,0,0,0.02714286,0.01,0,0,0,0,0,0.5514286,0.2871429,0,0,0,0,0,0,0,0.1471429,0,0,0,6.34,0,0,0,0,0.8237143
0,0.05333333,0.1766667,0,0,0.05166667,0,0.06333333,2.086667,0.06166667,0.00225,0,0,0,0,0,0,0,0,0.025,0,0,0,0.03833333,0,9.22,0,0,0,0
0.2933333,0,0,0.736,0,0.3066667,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0.3093333,0,0,0,0.2173333,5.034667,0,0.076,0,0.5013333
0,0,0,0,0,0.04,0,0,0,0,0.18,0,0,0,0,0,0,0,1.62,0.02,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.004628099,0.115201,0,0,0,0,0.3548981,0,0,0,0,0,0,0.04906809,0,0,0,0,0,0,0,0,0,0.002151515,0.02952183,0
0,0.0162452,0,0,0.07578947,0.005864555,0,0.06914836,0.05955551,0,0.01056182,0.09755753,0.05748448,0,0,0,0,0.1206538,0,0.07583223,0,0,0,0,0,4.566333,0,0.00322807,0,0
0,0,0,0,0.06,0.0525,0,0,0,0,4.26,0,1.6025,0,0,0,0,0,0.105,0,0,1.1425,0,0,0,0,0,0.4275,0.1725,0
0,0,0,0,0,0.06545455,0,0.06636364,0,0,0.007454545,0,0.3036364,0,0,0,0,0.1690909,0,0,0,0,0,0,0,0,0,0.01181818,0.01545455,0
0.01597341,0.2406345,0.3192686,0.3878382,0.06944108,0.06006361,0,0,0,0,0.2277809,0,0.9000877,0,0,0,0,0.006095356,0.036402,0,0,0,0,0,4.363591,1.718763,0,0.3560123,0,1.255889
5.568641,0.05818082,0,0,0,0.1029099,0,0.02223735,3.765685,0.008742714,0.05822091,0,0.03173143,0,0,0.00685673,0,0,0.01664823,0.001158362,0,0,0,0,0,15.27339,0,0.01135,0.002785863,0
0,0,0,0,0,0,0.06142939,0,0,0,0.01205238,0,0,0.0669281,0,0,0.01733659,0,6.507028e-5,0,0,0.04245909,0.05618829,0,0,0,0,0,0.009783539,0
0,0,0,0,0,0.02890939,0,0.5849179,3.64238,0,0.1847105,0.001477502,0.01042385,0,1.1128,0,0,0,0.001548673,0,0,0,0.1986294,0,0,5.240496,0,0,0,0
0,0.2184615,0,0,0,0.1046154,0,0.3861538,0,0,0,7.547692,0.1538462,0,0,0.06461538,0,0.08153846,0,0,0,0,0,0,0,0,0,0.5753846,0,0.02923077
0.3663462,0,0.02254747,0.08676862,0,0.03317956,0,0,0,0,0,0,0.1191222,0,0,0,0,0,0,0,0,0,0,0,3.402655,0,0,0.2302083,0,0.07243774
0,0,0,0,0.02456566,0.03808848,0,0,0,0,0.4986884,0,0,0,0,0,0,0.04039465,0,0,0,0,0,0,0,0,0,0,0.3527836,0
0,0,0,0,0,0,0,0,0,0,0,2.389231,0.6776923,0,0,0,0,0,0,0,0.2453846,0,0,0,0,0,0,0.06615385,0,0.1007692
0,0,0,0,0,9.280996e-4,0,0,0,0,0.0455312,0,0,0,0,0,0,0.0663019,0.1414227,0,0,0,0,0,0,0,0,0.01441026,0.04158004,0
0,0,0.1563636,0.05863636,0,0.004181818,0,0,0,0,0,0,0.1627273,0,0,0.02863636,0,0,0,0.001636364,0,0,0,0.03227273,0.1822727,11.73864,0,0.6086364,0,0
0,0,0,0,0,0,0,0.09230769,0,0,0.5006923,0,7.692308e-4,0.009461538,0,0,0,0,0.7040769,0.007,0,0.9709231,0.008076923,0,0,0,0,0,0.1476923,0
0,0,0,0,0,0,0,0.7745884,0,0.005666574,0.2332771,0.001082009,0.00885261,0,0,0,0,0.08239062,0.03472222,0.01287069,0,0,0,0,0,0,0,0.06074074,0.02148302,0
0,0,0,0,0,0,0.2397042,0,0,0,0.0268903,0,0,1.952216,0,0,0.008962723,0,0.163074,0,0,0.1665922,0,0,0,0,0.6883565,0,0.003697252,0
0.6766667,0,0.6395833,0.8016667,0.1695833,0.01166667,0,0,0,0.045,0.001583333,0,0.1625,0,0,0.0175,0,0.01770833,0,0,0,0,0,0.3091667,0.01875,1.008333,0,0.3529167,0,0
0,0,0,0,0,0,0.9692069,0,0,0,0.04689655,0,0,1.093379,0.03034483,0,0,0,0.05310345,0,0,0.01241379,0.02206897,0,0,0,1.355241,0,0.001448276,0
0,0,0,0,0,0,0.2833673,0,0,0,0.05143339,0,0,1.415083,0,0,0.01697513,9.879126e-4,0.02855365,0,0,0,0.002109543,0,0,0,1.703137,0,0,0
0,0.2650987,0,0,0,0.03365582,0,0.2237469,0,0.1294973,0.07726103,1.33166,0.2383246,0,0,0.01367547,0,0.1562554,0.03871681,0.001553392,0,0,0,0,0,1.711179,0,0.3332456,0,0.01023392
0,0,0,0,0,0.003909091,0,0.3745455,0.06545455,0.03090909,0.5381818,0.006363636,0,0,0,0,0,0,0.1709091,0.4381818,0,0,0,0,0,5.249091,0,8.181818e-4,0,0
0,0,0,0,0,0,1.128571,0,0,0,0.01904762,0,0,13.00952,0.02380952,0,0,0,0.004761905,0,0,0,0.00952381,0,0,0,1.261905,0,0.02380952,0
0,0.006246017,0,0,0.1911758,0.02748995,0,0.02972544,0.6369212,0.04060505,0.1947723,0.8491605,0,0,0,0,0,0.04525027,0,0.03154554,0,0,0,0,0,0.035427,0,0.003866667,0,0.003799489
